"id","summary_title","coords","lat","lng","URI","apiURI"
"term-116397","Wadesmill","51.8398,-0.0272","51.8398","-0.0272","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116397","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116397"
"term-116398","Waltham Cross","51.6858,-0.033","51.6858","-0.033","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116398","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116398"
"term-116400","Catworth","52.3452,-0.3995","52.3452","-0.3995","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116400","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116400"
"term-116401","Earith","52.3647,0.0392","52.3647","0.0392","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116401","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116401"
"term-116402","Eynesbury","52.2177,-0.2645","52.2177","-0.2645","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116402","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116402"
"term-116403","Fenny Stanton","character(0)","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116403","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116403"
"term-116404","Offord Cluny","52.2879,-0.2131","52.2879","-0.2131","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116404","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116404"
"term-116405","Ramsey","45.0166,-93.095","45.0166","-93.095","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116405","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116405"
"term-116406","St Neots","52.2276,-0.2704","52.2276","-0.2704","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116406","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116406"
"term-116407","Sawtry","52.4381,-0.2821","52.4381","-0.2821","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116407","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116407"
"term-116408","Somersham","52.3832,-7e-04","52.3832","-7e-04","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116408","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116408"
"term-116409","Stilton","52.4904,-0.2815","52.4904","-0.2815","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116409","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116409"
"term-116410","Ashford","51.1486,0.8723","51.1486","0.8723","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116410","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116410"
"term-116411","Bromley","51.4028,0.0148","51.4028","0.0148","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116411","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116411"
"term-116412","Brookland","35.9001,-90.5821","35.9001","-90.5821","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116412","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116412"
"term-116413","Deal","51.224,1.4027","51.224","1.4027","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116413","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116413"
"term-116414","Faversham","51.3144,0.8912","51.3144","0.8912","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116414","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116414"
"term-116415","Godmersham","51.2152,0.9503","51.2152","0.9503","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116415","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116415"
"term-116416","Hawkhurst","51.0476,0.511","51.0476","0.511","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116416","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116416"
"term-116417","Honychild","character(0)","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116417","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116417"
"term-116418","Hythe","51.0691,1.0842","51.0691","1.0842","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116418","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116418"
"term-116419","Maidstone","51.2748,0.5232","51.2748","0.5232","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116419","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116419"
"term-116420","Milton","30.6324,-87.0397","30.6324","-87.0397","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116420","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116420"
"term-116421","Milton-next-Sittingbourne","character(0)","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116421","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116421"
"term-116422","Newington","43.1005,-70.8344","43.1005","-70.8344","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116422","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116422"
"term-116423","Pluckley","51.1724,0.7467","51.1724","0.7467","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116423","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116423"
