"id","summary_title","publicationPlace","publicationDate","URI","apiURI"
"publication-200002920","From Saucers to Sauceboats: the origins of dining and the development of tablewares","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002920","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002920"
"publication-200002921","‘Tea has become a great commodity here'. The introduction of tea and the development of its wares","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002921","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002921"
"publication-200002922","Some Baroque sources of English ornamental porcelains","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002922","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002922"
"publication-200002923","Baroque forms and decoration on English Pottery 1640-1760","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002923","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002923"
"publication-200002924","Influence of the Baroque on English Porcelain","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002924","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002924"
"publication-200002926","Story of Castle Hedingham Pottery","NULL","1968","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002926","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002926"
"publication-200002927","Gestingthorpe Pot Works","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002927","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002927"
"publication-200002928","Die italienische Majolika als Bildträger klassicher Themen – Parallelen in der Entwicklung des Buchdrucks und der istoriato-Majolika am Beispiel des Atalante-Mythos","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002928","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002928"
"publication-200002929","Book Review: Delftware in the Fitzwilliam Museum","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002929","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002929"
"publication-200002931","La Hafnerkunst des musées français","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002931","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002931"
"publication-200002932","1913: il mancato catalogo della collezione di maiolica italiana di J. Pierpont Morgan","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002932","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002932"
