"id","summary_title","venue","venueURI","venueAPIURI","venueID","earliestDate","latestDate","URI","apiURI"
"exhibition-678","Augustus John, J.D. Innes, Derwent Lees, Paintings 1910-1914","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1939","1903","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-678","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-678"
"exhibition-679","Exhibition of Contemporary British Art","New York","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106544","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106544","term-106544","1939","1939","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-679","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-679"
"exhibition-68","William Blake and His Contemporaries","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1986","1986","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-68","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-68"
"exhibition-680","(North and South America, 1941-45)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-680","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-680"
"exhibition-681","(Royal Academy, 1829)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1829","1829","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-681","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-681"
"exhibition-682","Augustus John with His Family","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1999","1999","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-682","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-682"
"exhibition-683","Summer Exhibition (1922)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1922","1922","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-683","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-683"
"exhibition-684","Augustus John (1975)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1975","1975","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-684","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-684"
"exhibition-685","41st exhibition of modern pictures","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1909","1909","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-685","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-685"
"exhibition-686","Fourteenth international exhibition of paintings","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-686","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-686"
"exhibition-687","(International Fine Arts Exhibition, 1911)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-687","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-687"
"exhibition-688","Annual Exhibition of The National Portrait Society","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1914","1903","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-688","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-688"
"exhibition-689","(Exhibited in Canada and America, n.d.)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-689","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-689"
"exhibition-69","Old Masters (1886)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1886","1886","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-69","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-69"
"exhibition-690","(Buenos Aires, 1943)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-690","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-690"
"exhibition-691","Paintings and drawings by Augustus E. John","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1926","1926","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-691","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-691"
"exhibition-692","Works by Augustus John, O.M., R.A.","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1954","1954","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-692","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-692"
"exhibition-693","Augustus John, O.M., R.A. (1956)","Sheffield","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-108100","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-108100","term-108100","1956","1956","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-693","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-693"
"exhibition-694","Pictures and decorations by Augustus John","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1917","1918","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-694","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-694"
"exhibition-695","(? Toledo, n.d.)","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-695","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-695"
"exhibition-696","Paintings and Drawings by Augustus John","Leeds (Yorks.)","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-107567","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-107567","term-107567","1946","1946","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-696","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-696"
"exhibition-697","Augustus John, An Exhibition of Paintings, Drawings & Lithographs from the collection of Mr & Mrs Peter Harris","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-697","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-697"
"exhibition-698","Augustus John, O.M.R.A. Drawings, Lithographs and Paintings from the Collection of Peter Harris Esq.","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-698","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-698"
"exhibition-699","Augustus John O.M.R.A. The Peter Harris Collection","Cambridge (Cambs.)","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106176","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106176","term-106176","1976","1976","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-699","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-699"
"exhibition-7","Exhibition of Italian Art 1200-1900","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1930","1903","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-7","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-7"
"exhibition-70","Old Masters (1879)","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1879","1879","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-70","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-70"
"exhibition-700","John","NULL","NULL","NULL","NULL","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-700","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-700"
"exhibition-701","Paintings and Drawings not previously exhibited by Augustus John","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1961","1961","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-701","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-701"
"exhibition-702","Augustus John, Portraits of the Artist's Family","Hull (N.E.)","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-108848","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-108848","term-108848","1970","1970","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-702","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-702"
"exhibition-703","Welsh Painting the last Sixty Years","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1947","1947","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-703","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-703"
"exhibition-704","The Early Years of the New English Art Club 1886-1918","Birmingham","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-107687","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-107687","term-107687","1952","1952","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-704","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-704"
"exhibition-705","Augustus John, Paintings, Drawings and Etchings","London","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-106216","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-106216","term-106216","1975","1975","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-705","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-705"
"exhibition-706","Augustus John. Studies for Compositions centenary exhibition","Cardiff","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-107680","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-107680","term-107680","1978","1978","https://data.fitzmuseum.cam.ac.uk/id/terminology/exhibition-706","https://data.fitzmuseum.cam.ac.uk/api/v1/exhibitions/exhibition-706"
