"id","summary_title","description","created","modified","URI","apiURI","parentTitle","parentURI","parentAPIURI","relatedTitle","relatedURI","relatedAPIURI"
"term-140338","mid 1990s","NULL","1633910400000","1633957947000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140338","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140338","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140454","c. 1st-2nd century AD","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140454","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140454","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140455","c. 9th-10th century","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140455","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140455","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140456","c. 15th century","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140456","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140456","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140457","6th century BC","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140457","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140457","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140458","6th-early 5th century BC","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140458","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140458","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140459","late 5th century BC","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140459","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140459","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140460","1st half of 5th century BC","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140460","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140460","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140461","late 11th-early 12th century","NULL","1633996800000","1634059903000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140461","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140461","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140490","c. 6th century AD","NULL","1634169600000","1634200383000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140490","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140490","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140491","c. 7th century AD","NULL","1634169600000","1634200383000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140491","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140491","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140492","c. 2nd-early 4th century","NULL","1634169600000","1634200383000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140492","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140492","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140494","260s-c. 300","NULL","1634169600000","1634206891000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140494","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140494","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140495","260s- c. 300","NULL","1634169600000","1634209371000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140495","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140495","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140496","1190s","NULL","1634169600000","1634209376000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140496","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140496","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140589","late 6th century BC","NULL","1634169600000","1634226024000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140589","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140589","NULL","NULL","NULL","NULL","NULL","NULL"
"term-140590","2nd half of 6th century BC","NULL","1634169600000","1634226024000","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-140590","https://data.fitzmuseum.cam.ac.uk/api/v1/periods/term-140590","NULL","NULL","NULL","NULL","NULL","NULL"
